fileName,severity,lineNumber,issueFoundDetails
/home/michael/claude/rpg-public/apps/server/src/dev-server.ts,low,3,Hardcoded default port value '3000' should be a constant or config variable for better maintainability
/home/michael/claude/rpg-public/apps/server/src/dev-server.ts,low,4,Hardcoded default host value '0.0.0.0' should be a constant or config variable for better maintainability
/home/michael/claude/rpg-public/apps/server/src/dev-server.ts,medium,10,"No explicit error handling for the app.listen() promise rejection, could mask issues with server startup"
/home/michael/claude/rpg-public/apps/server/src/dev-server.ts,medium,13,Generic 'err' variable name in catch block makes debugging harder than using a more specific error type
/home/michael/claude/rpg-public/apps/server/src/dev-server.ts,high,18,"Using 'void main()' instead of 'main()' means the return value of main() is ignored, which could hide potential async errors"
/home/michael/claude/rpg-public/apps/server/src/ai/lm-studio-client.ts,medium,2,Hardcoded default port '1234' should be configurable via environment variable like other settings
/home/michael/claude/rpg-public/apps/server/src/ai/lm-studio-client.ts,medium,10,"Function name 'queryLmStudio' doesn't clearly indicate it returns a Promise, which could be confusing for callers"
/home/michael/claude/rpg-public/apps/server/src/ai/lm-studio-client.ts,low,35,Type assertion 'as { choices?: Array<{ message?: { content?: string } }> }' could be made safer with a validation function
/home/michael/claude/rpg-public/apps/server/src/ai/lm-studio-client.ts,low,37,Redundant null check with '?? null' after already checking for undefined in the chain
/home/michael/claude/rpg-public/apps/server/src/ai/ai-service-composite.ts,medium,14,"Catches all exceptions from queryLmStudio but doesn't log or handle them specifically, potentially hiding underlying issues that could be useful for debugging AI service problems"
/home/michael/claude/rpg-public/apps/server/src/ai/ai-service-composite.ts,medium,9,"The tryLmStudio method has a generic catch block that swallows all errors without logging, making it difficult to diagnose why AI service calls fail"
/home/michael/claude/rpg-public/apps/server/src/ai/ai-service-composite.ts,medium,13,"The check 'if (result.text)' assumes the result object will always have a text property, but this could fail if the API response structure changes or is malformed"
/home/michael/claude/rpg-public/apps/server/src/ai/ai-service-composite.ts,medium,21,"The generateDialogue method uses the same fallback pattern as other methods, but there's no explicit handling for what happens if the fallback also fails"
/home/michael/claude/rpg-public/apps/server/src/ai/ai-service-composite.ts,medium,27,"The generateRumor method has the same potential issue with fallback handling as generateDialogue, where errors in the fallback mechanism aren't explicitly checked or logged"
/home/michael/claude/rpg-public/apps/server/src/ai/fallback-ai.ts,medium,17,The condition Math.random() < 0.4 is hardcoded and should be a configurable value or derived from context.totalRuns for more dynamic behavior
/home/michael/claude/rpg-public/apps/server/src/ai/fallback-ai.ts,medium,23,"The return value from pool[Math.floor(Math.random() * pool.length)]! assumes pool is never empty, but there's no validation if pool ends up empty after filtering"
/home/michael/claude/rpg-public/apps/server/src/ai/fallback-ai.ts,low,20,The variable factionId is declared but only used with void factionId; which is a confusing pattern that should be removed
/home/michael/claude/rpg-public/apps/server/src/ai/fallback-ai.ts,low,21,The void factionId; line is a code smell that indicates dead code or unclear intent
/home/michael/claude/rpg-public/apps/server/src/ai/fallback-ai.ts,low,15,"The loop for (const [factionId, factionPool] of Object.entries(FACTION_RUMORS)) has a confusing naming convention since factionId is not used in the loop body"
/home/michael/claude/rpg-public/apps/server/src/routes/debug.ts,medium,23,"Missing error handling for repo.loadGame() failure, which could silently fail and lead to unexpected behavior when loading a game state"
/home/michael/claude/rpg-public/apps/server/src/routes/debug.ts,medium,43,"Potential performance issue with repeated calls to grantAbility() in a loop without checking if abilities already exist, leading to redundant operations"
/home/michael/claude/rpg-public/apps/server/src/routes/debug.ts,medium,49,Inefficient filtering of unlockedBlueprints using Set lookup; the existing Set should be created once outside the filter operation for better performance
/home/michael/claude/rpg-public/apps/server/src/routes/debug.ts,medium,52,"Redundant spread operator usage when updating unlockedBlueprints; the existing array is already spread in the object spread, making the explicit spread unnecessary"
/home/michael/claude/rpg-public/apps/server/src/routes/debug.ts,high,73,"Missing error handling for repo.saveGame() failure, which could silently fail and prevent saving the modified game state"
/home/michael/claude/rpg-public/apps/server/src/sqlite-repository.ts,high,75,"Generic Error thrown instead of specific concurrency error type in saveGame, potentially masking true error type for proper HTTP response handling"
/home/michael/claude/rpg-public/apps/server/src/sqlite-repository.ts,high,134,"Generic Error thrown in commitTick instead of specific concurrency error type, inconsistent with loadGame error handling pattern"
/home/michael/claude/rpg-public/apps/server/src/sqlite-repository.ts,medium,159,"Duplicated event insertion logic between appendEvents and commitTick methods, creating maintenance burden and potential inconsistency"
/home/michael/claude/rpg-public/apps/server/src/sqlite-repository.ts,medium,108,Inefficient rows.reverse().map() pattern in getRecentEvents creates unnecessary array copy; could use a simple reverse loop or change query to ORDER BY ASC
/home/michael/claude/rpg-public/apps/server/src/sqlite-repository.ts,medium,133,"Missing validation for gameId parameter in commitTick, could lead to unexpected behavior if gameId is null/undefined"
/home/michael/claude/rpg-public/apps/server/src/game-command/process-command.ts,medium,93,"The code uses a potentially unsafe nullish coalescing operator (??) to get metrics, which could mask missing data if lastRunMetrics is explicitly set to null instead of undefined."
/home/michael/claude/rpg-public/apps/server/src/game-command/process-command.ts,medium,115,"The code accesses metrics in two places (line 115 and 93) but doesn't ensure the metrics exist before using them, creating potential runtime errors if the state is malformed."
/home/michael/claude/rpg-public/apps/server/src/game-command/process-command.ts,medium,150,"The function getArchivedEvents calculates historyLength but doesn't validate that state.world.eventHistory is actually an array, which could cause a runtime error if it's null or undefined."
/home/michael/claude/rpg-public/apps/server/src/game-command/process-command.ts,low,168,"The view object is spread and then immediately modified with combatLog and animatedEvents, which is less performant than creating the view with the properties already included."
/home/michael/claude/rpg-public/apps/server/src/game-command/town-text.ts,medium,109,"The condition checks for 'led' status or strong/dominant bands, but doesn't consider if the faction is broken, which could lead to inconsistent rumor generation"
/home/michael/claude/rpg-public/apps/server/src/game-command/town-text.ts,medium,113,"The broken faction rumor logic only checks for status === 'broken' but doesn't consider if the faction has a leader, which might miss important context for the rumor"
/home/michael/claude/rpg-public/apps/server/src/game-command/town-text.ts,medium,175,"The getFactionPriority function modifies a copy of factions but doesn't handle the case where the filtered factions array is empty, potentially causing issues with undefined access"
/home/michael/claude/rpg-public/apps/server/src/game-command/town-text.ts,medium,224,"The pickDeterministic function uses Math.abs(seed) which can lead to unexpected results when seed is negative, potentially causing non-deterministic behavior"
/home/michael/claude/rpg-public/apps/server/src/game-command/town-text.ts,low,228,The pushUnique function checks for null values but doesn't handle potential duplicates in the target array beyond the first occurrence, which could be inefficient for large arrays"
/home/michael/claude/rpg-public/apps/server/src/in-memory-repository.ts,medium,33,"Version increment logic is vulnerable to race conditions in concurrent save operations, potentially leading to version conflicts or lost updates"
/home/michael/claude/rpg-public/apps/server/src/in-memory-repository.ts,medium,68,"The commitTick method does not validate that nextState.version matches the expected incremented version, allowing potential version inconsistencies"
/home/michael/claude/rpg-public/apps/server/src/in-memory-repository.ts,high,23,"The OCC check in saveGame uses the state.version directly instead of the stored version, which can cause false positives in concurrency detection"
/home/michael/claude/rpg-public/apps/server/src/in-memory-repository.ts,high,59,"The OCC check in commitTick uses prevVersion instead of the current stored version, which can cause false positives in concurrency detection"
/home/michael/claude/rpg-public/apps/server/src/in-memory-repository.ts,low,13,"The version tracking uses state.version for initial setup, but should use state.version directly since it's already the initial version"
/home/michael/claude/rpg-public/apps/server/src/app.ts,high,50,Function getCanonicalSerializedState performs unnecessary double serialization/deserialization which is inefficient and potentially problematic for state consistency
/home/michael/claude/rpg-public/apps/server/src/app.ts,medium,114,"Duplicated error handling logic across multiple routes (lines 114-128, 134-150, 176-192, 217-238, 318-342) violates DRY principle and makes maintenance harder"
/home/michael/claude/rpg-public/apps/server/src/app.ts,medium,292,Potential race condition in restore endpoint where check for existing state and creation of new state happen in separate operations without atomicity guarantees
/home/michael/claude/rpg-public/apps/server/src/app.ts,low,244,The getRestoreSerializedState function uses a loose type assertion (body as { serializedState?: string }) that could mask type errors
/home/michael/claude/rpg-public/apps/server/src/app.ts,low,350,The type assertion (repo as RepoWithMetrics) in metrics endpoint is a code smell indicating weak typing and potential runtime errors
/home/michael/claude/rpg-public/apps/web/src/App.tsx,medium,21,"Function 'renderPanel' has complex conditional logic that's hard to follow and maintain, with multiple nested if statements and direct DOM manipulation instead of a more declarative approach"
/home/michael/claude/rpg-public/apps/web/src/App.tsx,medium,104,"The 'handleNavClick' function modifies state directly by creating new Set instances, which could be simplified with a more functional approach using a reducer pattern for better readability"
/home/michael/claude/rpg-public/apps/web/src/App.tsx,medium,143,The conditional rendering logic for the start screen could be simplified by extracting the loading state check into a separate variable for better readability
/home/michael/claude/rpg-public/apps/web/src/App.tsx,medium,175,"The quest assignment logic has complex nested conditionals that could be refactored into a more readable format, especially around the filtering and matching of quest logs and active quests"
/home/michael/claude/rpg-public/apps/web/src/App.tsx,medium,210,The 'showProgressNotice' variable assignment and subsequent conditional rendering has duplicated logic for checking notice kind and id existence that could be simplified
/home/michael/claude/rpg-public/apps/web/src/sprites/sprite-registry.ts,medium,32,Hardcoded image path '/sprites/dawnlike.png' makes the loader inflexible and breaks if the asset location changes
/home/michael/claude/rpg-public/apps/web/src/sprites/sprite-registry.ts,medium,51,"SPRITE_MAP lookup could return undefined, but the code assumes it's always present - should validate rect exists before using"
/home/michael/claude/rpg-public/apps/web/src/sprites/sprite-registry.ts,medium,59,"DAWNLIKE_ATLAS lookup could return undefined, but the code assumes it's always present - should validate rect exists before using"
/home/michael/claude/rpg-public/apps/web/src/sprites/sprite-registry.ts,low,18,Promise constructor anti-pattern - can be simplified by using async/await directly
/home/michael/claude/rpg-public/apps/web/src/sprites/sprite-registry.ts,low,40,onReady method has potential race condition where callbacks could be called twice if ready state changes between check and push
/home/michael/claude/rpg-public/apps/web/src/store/game-store.ts,medium,133,"Unsafe type assertion on line 133. The code uses a partial type assertion to access optional fields, but this can mask actual type errors and lead to runtime issues when fields are actually missing."
/home/michael/claude/rpg-public/apps/web/src/store/game-store.ts,medium,141,"Inconsistent handling of death transition logic. The death transition is only triggered when dungeonToEndPhase is true AND hasDeathSignal is true, but the actual death check happens after the view is updated, potentially causing UI inconsistencies."
/home/michael/claude/rpg-public/apps/web/src/store/game-store.ts,medium,151,"Potential race condition in death transition timeout handling. The timeout is cleared and set within the same conditional block, but the timeout may not be properly cleaned up in all code paths, leading to potential memory leaks or unexpected behavior."
/home/michael/claude/rpg-public/apps/web/src/store/game-store.ts,medium,223,"Mixed responsibility in startAutoWalk function. It handles both path setting and enemy ID collection, which should be separated for better testability and maintainability."
/home/michael/claude/rpg-public/apps/web/src/store/game-store.ts,medium,116,Error message in sendCommand is hardcoded. The error message 'Game session expired. Please start a new game.' is not dynamic and could be improved for better user experience.
/home/michael/claude/rpg-public/apps/web/src/store/session-persistence.ts,medium,21,"Unsafe cast using 'as Partial<PersistedSession>' on line 21. This bypasses type checking and could lead to runtime errors if the parsed data doesn't match the expected structure, since the cast doesn't validate the actual shape of the parsed object."
/home/michael/claude/rpg-public/apps/web/src/store/session-persistence.ts,medium,22,"The validation on line 22 only checks for the existence of 'gameId' and 'serializedState' as strings, but doesn't ensure these fields contain meaningful values (e.g., non-empty strings), which could cause issues downstream."
/home/michael/claude/rpg-public/apps/web/src/store/session-persistence.ts,low,11,"The error handling in saveSession (lines 12-14) uses a bare 'catch' block that silently ignores all errors. While this prevents crashes, it makes debugging difficult and could hide storage issues that should be reported."
/home/michael/claude/rpg-public/apps/web/src/store/session-persistence.ts,low,26,"The loadSession function (lines 26-28) also uses a bare 'catch' block that silently ignores all parsing/JSON errors, which could mask data corruption or invalid session data."
/home/michael/claude/rpg-public/apps/web/src/store/session-persistence.ts,medium,8,"The saveSession function (line 8) does not validate the input parameters 'gameId' and 'serializedState' before storing them, potentially leading to invalid data being persisted if these parameters are not properly validated elsewhere."
/home/michael/claude/rpg-public/apps/web/src/styles.ts,medium,66,Hardcoded color value '#e07030' in logEntryColor function instead of using color token or constant
/home/michael/claude/rpg-public/apps/web/src/styles.ts,medium,36,Hardcoded color value '#e07030' in hpBarColor function instead of using color token or constant
/home/michael/claude/rpg-public/apps/web/src/styles.ts,medium,127,Hardcoded BTN_MIN_HEIGHT reference in npcBtnBase style instead of using constant from ui-config
/home/michael/claude/rpg-public/apps/web/src/styles.ts,medium,141,Hardcoded NAV_BTN_MIN_HEIGHT reference in navBtnStyle instead of using constant from ui-config
/home/michael/claude/rpg-public/apps/web/src/styles.ts,low,90,Hardcoded background color '#1a3a0a' in btnPrimaryStyle instead of using color token
/home/michael/claude/rpg-public/apps/web/src/utils/direction.ts,medium,12,"DIR_MAP uses string keys for numeric coordinate differences, which could cause issues with non-integer coordinates or unexpected key collisions due to floating-point precision"
/home/michael/claude/rpg-public/apps/web/src/utils/direction.ts,medium,26,"The function returns null for undefined directions but doesn't handle cases where dx or dy might be NaN or infinity, which could lead to unexpected behavior or infinite loops in the map lookup"
/home/michael/claude/rpg-public/apps/web/src/utils/direction.ts,low,23,"The function signature uses Position interface with readonly properties, but the implementation doesn't enforce that the input values are actually read-only, potentially leading to unexpected mutations"
/home/michael/claude/rpg-public/apps/web/src/utils/direction.ts,low,12,"DIR_MAP is a const object that's used as a lookup table, but it's not exported, making it hard to test or extend the direction mapping in other parts of the codebase"
/home/michael/claude/rpg-public/apps/web/src/utils/screen-to-grid.ts,medium,9,"Integer division with Math.floor can produce incorrect grid coordinates when offsetX is negative, as floor() rounds towards negative infinity rather than towards zero"
/home/michael/claude/rpg-public/apps/web/src/utils/screen-to-grid.ts,medium,10,"Integer division with Math.floor can produce incorrect grid coordinates when offsetY is negative, as floor() rounds towards negative infinity rather than towards zero"
/home/michael/claude/rpg-public/apps/web/src/utils/pathfinding.ts,medium,61,"Uses shift! without null check, which could cause runtime error if queue is empty"
/home/michael/claude/rpg-public/apps/web/src/utils/pathfinding.ts,medium,70,"Uses ! cast on Number() result, which could be NaN if split fails"
/home/michael/claude/rpg-public/apps/web/src/utils/pathfinding.ts,medium,71,"Uses ! cast on parent.get() result, which could be undefined"
/home/michael/claude/rpg-public/apps/web/src/utils/pathfinding.ts,medium,81,"Uses ! cast on walkable.has() result, which could be false when it should be true"
/home/michael/claude/rpg-public/apps/web/src/utils/pathfinding.ts,medium,83,"Uses ! cast on blocked.has() result, which could be true when it should be false"
/home/michael/claude/rpg-public/apps/web/src/utils/threat-detection.ts,medium,8,"The filter condition uses a loose equality check (!knownEnemyIds.has(e.id)) which could be less efficient than using a Set for lookups. While the code is functionally correct, it could be optimized to use a more direct Set-based approach with better performance characteristics for large datasets. However, since the code is using a Set already for knownEnemyIds, this is likely acceptable but worth noting as a potential optimization opportunity."
/home/michael/claude/rpg-public/apps/web/src/hooks/useDelayedVisibility.ts,medium,15,"Ref is typed as ReturnType<typeof setTimeout> | undefined, but clearTimeout expects a number. This could cause issues with type safety and potential runtime errors if the timer isn't properly cleared."
/home/michael/claude/rpg-public/apps/web/src/hooks/useDelayedVisibility.ts,medium,20,"The hook doesn't handle the case where delayMs is 0 or negative, which could cause unexpected behavior with setTimeout."
/home/michael/claude/rpg-public/apps/web/src/hooks/useDelayedVisibility.ts,medium,37,"The cleanup function in useEffect doesn't properly handle the case where trigger becomes false while the timer is still running, potentially leading to race conditions or unexpected state changes."
/home/michael/claude/rpg-public/apps/web/src/hooks/useDelayedVisibility.ts,low,13,"The function signature uses trigger: boolean, delayMs: number which could be made more flexible by accepting a configuration object for better extensibility."
/home/michael/claude/rpg-public/apps/web/src/hooks/useDelayedVisibility.ts,low,39,"The return type is a simple object with only isVisible, but it could be extended to include the timer state or other useful information for debugging."
/home/michael/claude/rpg-public/apps/web/src/hooks/useAutoWalk.ts,high,22,"The hook uses 'useGameStore.getState()' inside an async function, which can lead to stale state if the store is updated between the time the function starts and when it accesses the store, causing unpredictable behavior"
/home/michael/claude/rpg-public/apps/web/src/hooks/useAutoWalk.ts,high,36,"The hook sends movement commands without checking if the command actually succeeded, potentially leading to the player moving in unintended directions or getting stuck"
/home/michael/claude/rpg-public/apps/web/src/hooks/useAutoWalk.ts,medium,40,"The threat detection logic checks for new threats but doesn't update the autoWalkKnownEnemyIds to reflect the newly detected threats, which could cause repeated threat detection on the same enemies"
/home/michael/claude/rpg-public/apps/web/src/hooks/useAutoWalk.ts,medium,51,"The health check compares undefined values, which will always be false and potentially mask actual health changes if the health property is not properly initialized"
/home/michael/claude/rpg-public/apps/web/src/hooks/useAutoWalk.ts,medium,64,"The 'cancelAutoWalk' is called at the end of the walk function, but if the walk was cancelled externally, this might cause inconsistent state between the store and the hook"
/home/michael/claude/rpg-public/apps/web/src/hooks/useBumpAnimations.ts,medium,20,"The comparison logic uses a linear search through previous animations, which has O(n) complexity and could be inefficient for large animation arrays"
/home/michael/claude/rpg-public/apps/web/src/hooks/useBumpAnimations.ts,medium,12,"Uses a ref to store previous animations, but doesn't handle the case where animations array might be mutated in place rather than replaced with a new array instance"
/home/michael/claude/rpg-public/apps/web/src/hooks/useBumpAnimations.ts,low,36,"The dependency array only includes 'animations', but if the animation objects themselves contain mutable references, this might miss important changes"
/home/michael/claude/rpg-public/apps/web/src/hooks/useBumpAnimations.ts,high,19,"The loop processes all animations every time, even if only one new animation was added, leading to unnecessary work and potential performance issues"
/home/michael/claude/rpg-public/apps/web/src/hooks/useBumpAnimations.ts,medium,35,"The code assumes animations array is immutable, but if it's mutated in place, previousRef.current will contain the same reference but updated content, causing incorrect deduplication"
/home/michael/claude/rpg-public/apps/web/src/animation-runtime/useAnimationOrchestrator.ts,medium,42,Unsafe type assertion on line 42 when casting animEvent.data to BumpAnimationEntry - could cause runtime errors if the data doesn't match the expected structure
/home/michael/claude/rpg-public/apps/web/src/animation-runtime/useAnimationOrchestrator.ts,medium,44,Unsafe type assertion on line 44 when casting animEvent.data to MoveAnimationEntry - could cause runtime errors if the data doesn't match the expected structure
/home/michael/claude/rpg-public/apps/web/src/animation-runtime/useAnimationOrchestrator.ts,medium,46,Unsafe type assertion on line 46 when casting animEvent.data to ConsumableAnimationEntry - could cause runtime errors if the data doesn't match the expected structure
/home/michael/claude/rpg-public/apps/web/src/animation-runtime/useAnimationOrchestrator.ts,medium,53,Unsafe type assertion on line 53 when casting animEvent.data to CombatIndicatorEntry - could cause runtime errors if the data doesn't match the expected structure
/home/michael/claude/rpg-public/apps/web/src/animation-runtime/useAnimationOrchestrator.ts,medium,54,Unsafe type assertion on line 54 when casting animEvent.data to CombatIndicatorEntry - could cause runtime errors if the data doesn't match the expected structure
/home/michael/claude/rpg-public/apps/web/src/hooks/useMoveAnimationState.ts,medium,35,"Animation ID generation uses a ref that could cause collisions in rapid-fire scenarios, especially with multiple concurrent animations or if the hook is re-rendered"
/home/michael/claude/rpg-public/apps/web/src/hooks/useMoveAnimationState.ts,medium,49,"Timer cleanup in handleMoveAnimation doesn't remove timer from timersRef, which could cause memory leaks or stale timers if animations are cancelled early"
/home/michael/claude/rpg-public/apps/web/src/hooks/useMoveAnimationState.ts,medium,57,"Event listener cleanup removes all timers but doesn't clear timersRef.current, which could cause issues if the component remounts or if multiple instances exist"
/home/michael/claude/rpg-public/apps/web/src/hooks/useMoveAnimationState.ts,medium,68,"Progress calculation uses Math.min(elapsed / anim.durationMs, 1) which could cause issues if durationMs is 0 or negative, potentially leading to NaN or incorrect animation states"
/home/michael/claude/rpg-public/apps/web/src/hooks/useMoveAnimationState.ts,low,22,"Hook returns a complex object with animations array, but doesn't provide a way to clear animations or reset the state, making it harder to manage in larger applications"
/home/michael/claude/rpg-public/apps/web/src/hooks/useKeyboard.ts,medium,34,"Missing type safety in game store selector, could cause runtime errors if store structure changes"
/home/michael/claude/rpg-public/apps/web/src/hooks/useKeyboard.ts,medium,51,"KEY_MAP uses 'unknown' type for values, losing type safety for command objects"
/home/michael/claude/rpg-public/apps/web/src/hooks/useKeyboard.ts,medium,64,Inconsistent typing in action filtering - using 'any' instead of proper type definitions
/home/michael/claude/rpg-public/apps/web/src/hooks/useKeyboard.ts,medium,114,"Magic number 10 used in parseInt without explicit base, could cause unexpected behavior"
/home/michael/claude/rpg-public/apps/web/src/hooks/useKeyboard.ts,high,100,Type assertion on targetId may cause runtime error if type is not as expected
/home/michael/claude/rpg-public/apps/web/src/hooks/useInventoryFilter.ts,high,23,Unreachable code after return statement on line 22 creates logical error where 'consumables' filter always returns true instead of filtering items by itemClass === 'consumable'
/home/michael/claude/rpg-public/apps/web/src/hooks/useInventoryFilter.ts,medium,18,Filter logic has redundant conditional checks - the final 'return true' on line 24 is unreachable and makes the filter logic confusing
/home/michael/claude/rpg-public/apps/web/src/hooks/useInventoryFilter.ts,medium,31,Hardcoded rarity order mapping is duplicated logic that should be extracted to avoid maintenance issues if rarity values change
/home/michael/claude/rpg-public/apps/web/src/hooks/useInventoryFilter.ts,low,28,"Sort function has unreachable code after return statement on line 36, making the sort logic less clear"
/home/michael/claude/rpg-public/apps/web/src/hooks/useInventoryFilter.ts,low,32,The fallback value of -1 for unknown rarities in rarityOrder lookup could be made more explicit with a constant
/home/michael/claude/rpg-public/apps/web/src/hooks/useBreakpoint.ts,medium,16,"useState initialization calls window.matchMedia directly, which can cause SSR mismatches in React Server Components as window is not available during server rendering"
/home/michael/claude/rpg-public/apps/web/src/hooks/useBreakpoint.ts,medium,21,"Media query listener setup does not handle potential errors from addEventListener, which could cause issues if the event listener registration fails"
/home/michael/claude/rpg-public/apps/web/src/hooks/useBreakpoint.ts,low,15,"Hardcoded media query string uses MOBILE_BREAKPOINT constant directly, which could be made more maintainable by extracting the entire media query as a constant"
